loan_granted,is_first_loan,fully_repaid_previous_loans,currently_repaying_other_loans,total_credit_card_limit,avg_percentage_credit_card_limit_used_last_year,saving_amount,checking_amount,is_employed,yearly_salary,age,dependent_number
0,1,-1,-1,0,-1,293,2017,0,0,57,2
1,1,-1,-1,900,0.94,644,3190,1,11400,51,4
0,0,1,1,4000,0.74,4018,4015,1,12600,35,2
0,1,-1,-1,0,-1,3974,3840,1,39700,67,1
1,1,-1,-1,2600,0.68,1160,2579,1,25300,58,1
1,0,1,0,4500,0.7,1346,1187,1,31700,40,4
1,1,-1,-1,3000,0.66,2026,2815,1,38500,78,8
1,1,-1,-1,4000,1.06,692,2774,0,0,30,1
1,0,1,0,6000,0.6,285,727,1,6200,41,5
1,0,1,1,2300,0.96,1111,1229,1,39100,41,2
1,1,-1,-1,6500,0.41,983,6219,1,38000,65,2
0,1,-1,-1,2900,1.03,637,1167,1,19100,56,5
1,0,1,0,1600,0.44,2003,844,1,33100,41,2
0,1,-1,-1,2800,0.81,2031,3972,1,17800,27,8
1,1,-1,-1,5100,0.61,1380,1641,1,23200,35,2
0,1,-1,-1,1100,0.77,970,1587,0,0,28,7
0,0,1,1,3900,0.96,564,1587,1,27400,48,6
1,0,1,0,0,-1,412,1855,0,0,34,4
1,0,1,1,3200,0.84,4152,6271,1,42900,37,7
0,0,1,0,3200,0.84,4899,2360,1,29900,24,1
0,1,-1,-1,3000,1.07,303,2116,1,28800,24,2
0,0,1,1,8800,0.82,5597,3199,1,20100,35,4
0,0,1,0,2000,0.68,4030,4292,1,20400,57,8
0,0,1,1,3800,0.87,578,3249,1,28200,40,3
0,0,1,1,4300,0.77,132,1454,0,0,48,8
0,1,-1,-1,4400,0.85,2636,1422,0,0,30,2
0,1,-1,-1,2100,0.58,2793,5643,1,46400,39,3
1,0,1,0,4800,0.82,1542,2336,1,3300,24,2
0,0,1,0,3300,0.68,2334,3722,0,0,18,4
1,0,0,1,2700,0.82,754,2777,1,35500,61,5
0,0,1,0,4200,0.69,3771,2373,0,0,55,4
0,1,-1,-1,4500,0.87,1379,3036,0,0,31,8
0,1,-1,-1,4100,0.4,1167,2282,0,0,57,8
1,1,-1,-1,0,-1,1093,632,1,23200,30,7
1,1,-1,-1,7000,0.49,578,7876,1,33600,66,1
0,1,-1,-1,0,-1,1157,2804,0,0,56,1
0,0,1,0,2800,0.74,947,2301,0,0,51,2
0,0,1,0,6000,0.45,2762,644,1,40900,41,8
0,1,-1,-1,2600,0.64,5377,7382,1,36600,34,4
0,0,1,1,5000,0.86,486,1109,0,0,24,2
0,1,-1,-1,0,-1,766,3,0,0,30,2
1,0,0,1,6800,0.94,7074,4143,1,33200,39,3
1,1,-1,-1,2800,0.91,6591,860,1,20400,58,1
1,1,-1,-1,4200,0.97,3598,1935,1,32700,62,8
1,1,-1,-1,5000,0.71,3350,10905,1,34300,30,6
1,0,1,0,4700,0.65,199,2296,1,64200,46,0
1,0,1,0,8500,0.8,3071,8655,1,41000,40,0
0,0,1,1,3600,0.71,244,1264,1,42600,57,6
1,1,-1,-1,5800,0.68,768,4285,1,35200,48,0
1,0,1,1,7100,0.63,3419,1744,1,7800,21,8
1,0,0,1,2800,0.56,1229,2553,1,18000,52,4
1,1,-1,-1,2600,0.69,890,2786,1,30100,35,4
0,0,1,0,0,-1,1631,2170,1,29100,31,1
1,0,1,1,5000,0.49,4813,3861,1,37400,40,3
1,0,1,1,3600,0.62,1102,1821,1,41100,24,3
0,1,-1,-1,3300,0.53,1927,1991,0,0,56,3
0,0,1,1,0,-1,955,1439,0,0,34,8
0,1,-1,-1,4100,0.84,1489,1009,0,0,44,8
1,1,-1,-1,7000,0.56,1651,3574,0,0,20,0
0,1,-1,-1,5800,0.59,724,9325,1,27700,27,2
1,0,1,1,3500,0.67,1391,1809,1,35100,38,1
1,1,-1,-1,6000,0.73,5945,6749,1,22900,55,0
0,1,-1,-1,4300,0.76,1011,256,0,0,53,7
0,0,1,0,5600,1.02,2965,2769,1,62700,37,8
1,1,-1,-1,4700,0.51,4063,4281,1,50600,36,6
1,1,-1,-1,6200,0.95,962,996,1,30800,20,2
1,0,1,0,4900,0.48,1583,7725,1,36500,45,4
0,1,-1,-1,2600,0.84,1182,2646,0,0,39,1
0,1,-1,-1,3800,0.77,2577,299,1,42800,23,1
0,1,-1,-1,3100,0.83,1024,817,0,0,36,2
0,1,-1,-1,6500,0.81,932,1399,1,11800,52,3
1,1,-1,-1,6300,0.43,2247,4462,1,46600,35,4
1,0,1,0,2100,0.93,1116,3159,1,19800,28,5
0,1,-1,-1,3600,0.92,3212,1164,1,50800,28,1
0,0,1,0,5400,0.29,5671,397,1,46000,44,5
0,1,-1,-1,2800,0.81,911,1868,0,0,43,8
0,1,-1,-1,5800,0.63,1706,5198,0,0,50,1
0,1,-1,-1,800,0.94,486,2411,0,0,38,0
1,1,-1,-1,6400,0.79,1103,5384,1,46500,44,2
0,0,1,0,7100,0.66,1363,2442,1,38100,52,3
1,0,1,0,6500,0.63,1267,2837,1,33500,38,8
0,1,-1,-1,1700,1.07,1743,1739,1,31700,49,2
1,1,-1,-1,3500,0.95,1610,3271,1,17100,51,2
1,0,1,0,2700,1.04,1199,3017,1,17100,39,2
0,1,-1,-1,3000,0.77,1233,3164,1,19500,47,7
0,0,1,1,3800,1.06,1696,3190,1,13400,50,4
1,0,1,1,3000,0.81,21,1589,0,0,58,1
0,0,1,1,0,-1,401,1175,1,11000,44,3
1,0,1,0,7600,0.8,792,3279,1,21600,57,3
1,0,1,1,2000,0.58,1426,1908,1,12600,33,1
0,0,1,1,0,-1,378,2787,0,0,24,2
0,0,1,1,1800,0.99,1816,3148,0,0,54,5
1,0,1,0,6000,0.47,2245,3112,1,2800,50,2
1,1,-1,-1,2400,0.74,778,2185,1,25500,51,1
0,1,-1,-1,7600,0.51,1686,2171,1,6300,32,6
1,1,-1,-1,3200,0.74,523,2061,1,18400,55,2
0,1,-1,-1,7600,0.8,1231,1636,0,0,54,2
1,1,-1,-1,1900,0.43,1878,2005,1,39600,40,1
0,1,-1,-1,1800,0.58,2332,2127,0,0,51,2
1,0,1,1,4400,0.69,1092,4169,1,33900,37,7
0,1,-1,-1,6100,0.89,3599,1046,1,42700,64,5
0,1,-1,-1,6200,0.83,2671,4543,1,27900,39,2
0,1,-1,-1,3900,0.97,155,4577,0,0,66,0
0,0,1,1,1100,1.07,1245,2563,1,19200,36,2
0,0,1,0,7500,1,3166,3498,1,33600,31,5
1,1,-1,-1,6400,0.71,2662,5651,1,28200,26,6
0,1,-1,-1,0,-1,494,2820,1,11900,56,3
0,1,-1,-1,4800,0.66,1533,2346,1,27200,79,3
0,0,1,1,4600,0.83,1035,1537,1,14300,54,2
0,1,-1,-1,4300,0.77,74,5564,1,24900,19,8
1,1,-1,-1,7300,0.69,4020,5820,1,10100,47,3
1,1,-1,-1,4400,0.66,1873,4948,1,47900,45,2
0,0,0,0,2600,1.07,493,4800,0,0,51,3
0,1,-1,-1,2100,0.85,892,3901,0,0,21,2
1,0,1,0,5500,0.95,3001,9083,1,35200,18,4
0,0,1,0,3800,0.85,3418,6763,1,46400,30,2
1,0,1,0,2000,0.78,1237,2014,1,27700,20,8
1,1,-1,-1,5200,0.77,434,1620,1,21500,73,8
1,0,1,1,2300,0.83,777,2886,1,22300,47,3
0,0,1,1,0,-1,1517,4315,0,0,53,2
1,0,1,0,2100,0.37,798,5028,1,52400,23,7
0,1,-1,-1,5600,0.17,2112,5358,1,41700,47,3
0,1,-1,-1,2800,1.05,1723,5336,0,0,64,8
1,0,1,0,3400,0.94,2883,3264,1,53100,53,5
1,1,-1,-1,4100,0.73,985,9097,1,47200,50,2
0,1,-1,-1,5200,0.31,4710,1985,1,23700,44,1
0,0,1,1,4500,0.8,861,2513,0,0,39,3
0,0,1,1,2900,0.53,679,229,0,0,26,3
1,1,-1,-1,2500,0.53,1170,4845,1,21000,54,5
1,0,1,1,5300,0.71,974,3301,1,20200,24,8
0,1,-1,-1,3600,0.97,1183,1357,0,0,45,2
1,1,-1,-1,4200,0.56,981,893,0,0,25,5
0,0,0,0,2200,0.35,4038,5501,1,12700,23,6
1,1,-1,-1,6900,0.54,3565,3022,1,26700,50,1
1,1,-1,-1,3100,0.93,1940,2335,1,9400,68,1
0,0,1,1,3100,1.06,436,3538,0,0,33,8
1,1,-1,-1,4900,0.91,814,1860,1,37600,60,8
1,1,-1,-1,8300,0.7,2187,2615,1,37400,60,5
0,1,-1,-1,4300,0.18,4032,3328,1,27200,35,1
0,1,-1,-1,6700,0.54,4327,6973,1,33400,47,8
1,1,-1,-1,2900,0.85,2615,2872,1,29300,55,1
0,1,-1,-1,3300,0.99,392,2284,1,23500,51,2
0,1,-1,-1,0,-1,1111,1042,0,0,34,7
1,1,-1,-1,4100,0.77,2757,2881,1,40000,21,5
0,0,1,0,3100,0.53,3793,4808,1,19500,53,6
0,1,-1,-1,6000,0.97,1398,2715,0,0,29,0
0,0,1,0,2600,0.96,685,1572,0,0,37,8
1,1,-1,-1,4600,0.62,2664,120,1,26900,31,8
0,0,1,1,0,-1,757,1239,1,36200,50,3
0,1,-1,-1,2000,0.71,1741,2936,0,0,34,7
0,1,-1,-1,0,-1,1049,3034,1,28400,59,2
0,1,-1,-1,1900,0.9,1188,1643,1,20900,26,1
0,1,-1,-1,3000,1.09,5033,2724,1,31300,56,3
0,1,-1,-1,4200,0.95,862,2726,0,0,51,8
1,0,0,0,5700,0.71,3250,666,1,38800,46,1
0,0,0,1,7100,0.8,3662,5535,0,0,50,3
0,1,-1,-1,3400,0.61,4347,5677,1,14200,39,1
0,1,-1,-1,7000,0.84,1207,702,0,0,57,3
0,1,-1,-1,2200,0.91,1216,1115,1,29100,25,3
1,0,0,0,4000,0.72,3218,7633,1,29200,41,5
0,0,1,1,2800,1.01,607,1526,0,0,31,8
0,0,1,1,800,0.36,1675,262,0,0,40,1
0,1,-1,-1,0,-1,1800,1493,1,14000,28,1
1,1,-1,-1,2300,0.8,1236,927,1,35100,35,1
0,1,-1,-1,8200,0.21,3142,4471,0,0,35,1
0,0,1,1,0,-1,876,476,0,0,43,8
1,1,-1,-1,5300,0.94,3212,4883,1,41700,54,1
0,1,-1,-1,6500,0.93,2090,7156,1,50900,63,4
0,0,1,0,2900,0.97,2427,7835,1,38300,61,3
0,1,-1,-1,2700,0.74,1732,1878,0,0,43,4
0,1,-1,-1,0,-1,1092,2370,0,0,40,2
0,0,1,0,5700,0.7,232,882,0,0,46,2
1,0,1,1,5000,0.72,781,2393,1,21800,40,4
1,1,-1,-1,2500,0.41,1572,494,1,59600,59,1
1,1,-1,-1,5400,0.92,21,6422,1,26700,55,5
0,0,1,1,6000,0.88,1450,2625,0,0,34,3
1,0,1,0,4000,0.69,1572,435,1,15700,67,6
1,0,1,1,4700,0.91,220,2410,1,19900,53,2
1,0,1,0,5100,0.78,2525,4489,1,53400,54,4
1,1,-1,-1,7700,0.87,2933,2866,1,47000,51,1
0,1,-1,-1,3100,0.71,1244,270,0,0,33,2
1,0,1,1,4200,0.57,955,3402,0,0,41,8
1,0,1,0,4500,0.56,1025,1867,1,13500,47,8
0,0,1,0,4900,0.64,390,3011,0,0,51,8
0,0,1,0,4600,0.79,1727,2248,0,0,43,1
1,1,-1,-1,2900,0.86,1382,2990,1,35000,42,4
0,1,-1,-1,3600,0.86,1000,583,0,0,66,3
0,0,0,1,3000,0.58,1081,1711,0,0,54,2
0,1,-1,-1,0,-1,604,2596,1,31200,34,7
0,1,-1,-1,0,-1,1060,1673,0,0,29,2
0,0,1,0,3100,0.85,898,711,0,0,43,1
1,0,1,0,2100,0.9,3023,7056,1,35700,35,1
0,1,-1,-1,2900,0.98,1778,3381,1,3000,28,3
0,1,-1,-1,4900,0.89,2791,160,1,39400,52,8
0,0,0,1,2300,0.65,1055,1918,0,0,38,1
1,1,-1,-1,4900,0.51,4335,1873,1,29800,43,1
0,1,-1,-1,4100,0.98,1465,3326,1,37600,72,3
0,1,-1,-1,2900,0.52,130,2477,0,0,43,6
1,1,-1,-1,1800,1.04,1709,1556,1,30500,34,7
0,1,-1,-1,3900,0.63,1247,7847,1,41400,45,8
1,0,1,0,6100,1.07,1192,399,1,38000,25,1
1,1,-1,-1,7900,0.45,5052,4231,1,11300,39,6
0,1,-1,-1,1900,0.7,932,1429,0,0,31,1
1,1,-1,-1,3900,0.51,977,1516,1,54600,49,1
0,0,1,1,2100,1.05,1079,1118,1,34700,39,1
0,1,-1,-1,4900,0.71,1102,1442,0,0,34,2
0,0,1,1,4700,1.02,434,3617,1,25500,35,3
1,0,1,0,4000,0.62,2068,2990,1,39500,56,1
0,1,-1,-1,2400,1.05,1244,4069,1,22100,39,1
0,0,1,0,3000,0.5,1454,829,1,29500,41,5
0,1,-1,-1,0,-1,373,2404,1,19300,58,3
1,1,-1,-1,5700,0.83,2751,4359,0,0,24,2
1,1,-1,-1,0,-1,758,881,1,35700,31,6
1,0,1,1,1500,0.77,1096,2716,1,17400,31,2
0,0,1,1,5400,0.41,2916,3050,0,0,25,1
1,1,-1,-1,1700,0.66,1167,1998,1,15200,56,8
0,1,-1,-1,2700,0.73,779,2571,1,10700,42,0
1,0,0,1,3100,0.59,1219,2652,1,34800,56,1
1,1,-1,-1,5800,0.47,1184,4678,1,25100,26,8
1,0,0,0,6000,0.58,1641,389,1,26900,31,4
1,0,0,1,2100,0.66,913,2321,1,23700,49,8
1,1,-1,-1,2400,0.74,2668,2601,1,61500,24,8
0,1,-1,-1,0,-1,1727,2302,1,9400,28,5
1,1,-1,-1,6900,0.52,2333,5647,1,43400,59,1
0,0,1,1,3000,0.7,917,3364,0,0,28,2
1,1,-1,-1,7600,0.96,2106,4446,1,14500,38,2
1,1,-1,-1,2200,0.96,1430,3299,1,14000,58,3
1,1,-1,-1,7500,0.53,1666,6898,1,45900,54,6
1,1,-1,-1,2100,0.92,6327,3619,1,45000,62,1
1,1,-1,-1,5700,0.48,3954,2698,1,44300,68,1
0,0,1,1,4000,0.76,550,1516,1,21900,47,2
1,1,-1,-1,6900,0.79,2010,2600,1,24900,52,1
0,1,-1,-1,0,-1,2252,7880,1,21200,22,0
0,0,1,1,0,-1,976,1258,1,10000,46,2
1,0,1,0,3100,0.53,2807,4555,1,48100,37,2
0,1,-1,-1,2100,0.5,435,3184,1,23800,30,8
0,1,-1,-1,5000,1.01,1041,6046,1,33500,36,2
1,0,1,1,5700,0.65,3574,5961,1,31000,46,8
1,1,-1,-1,5200,0.79,5148,4394,1,40900,64,4
0,1,-1,-1,8500,0.6,2054,8295,0,0,31,1
1,0,1,0,3200,0.83,4632,2916,1,30700,38,4
1,0,1,0,5200,0.99,4212,4952,1,35800,48,3
0,0,1,0,5300,0.71,1522,4428,0,0,47,5
1,0,1,1,6300,0.73,6598,2225,1,12900,53,4
1,1,-1,-1,2300,0.62,1367,5741,1,38100,42,1
1,1,-1,-1,6300,0.77,5137,7487,1,24300,37,5
0,1,-1,-1,3800,0.84,987,783,0,0,49,2
0,0,1,0,5800,0.51,3446,5592,1,32700,55,6
1,0,1,0,3700,0.78,1602,2993,1,44100,28,1
0,1,-1,-1,4200,0.66,1267,1062,0,0,40,4
1,1,-1,-1,7400,0.49,1145,4249,1,38600,32,4
0,0,0,1,6300,0.64,1616,348,0,0,45,3
1,0,1,0,4800,0.68,437,1060,1,63000,67,1
0,1,-1,-1,6200,1.09,1027,4110,1,15700,50,6
1,0,1,0,2900,0.52,557,2101,1,36900,21,3
0,0,1,0,3500,0.88,2247,3164,1,39800,55,7
1,0,1,0,6000,0.74,157,2041,1,21700,35,2
1,0,1,1,1200,0.92,1460,2876,0,0,50,4
1,1,-1,-1,3400,0.66,515,1891,1,40000,23,4
0,0,1,0,4300,0.75,418,341,0,0,24,8
0,1,-1,-1,7700,1.06,2108,5321,1,12800,32,8
1,1,-1,-1,5600,0.89,758,408,1,22900,42,1
1,1,-1,-1,8000,0.64,5736,90,1,22700,39,1
1,0,1,0,2500,0.94,1512,2147,1,26200,34,3
1,0,1,0,4900,0.42,3537,2539,1,16400,65,3
0,1,-1,-1,4600,0.65,3193,1339,0,0,25,8
1,0,1,1,3400,0.83,674,1089,1,13600,38,8
1,0,1,0,5700,0.95,3500,5649,1,52900,24,7
0,1,-1,-1,4700,0.81,354,1306,0,0,24,3
0,0,1,0,5600,0.94,871,2623,0,0,50,1
0,0,1,0,4400,0.85,905,1906,0,0,45,1
1,1,-1,-1,2900,0.32,2294,7924,1,45700,31,4
1,1,-1,-1,8400,0.68,579,514,1,16400,56,2
0,1,-1,-1,6000,0.68,594,2960,0,0,67,4
0,0,1,0,5300,0.79,960,6000,1,6500,43,8
1,1,-1,-1,7400,0.82,2135,6198,1,54500,37,8
0,1,-1,-1,0,-1,3758,6917,1,13100,51,8
1,0,1,0,6000,0.47,869,3749,1,19800,31,1
0,1,-1,-1,3200,0.73,876,1057,0,0,43,8
1,1,-1,-1,2000,0.79,1854,5947,1,35400,33,1
0,1,-1,-1,0,-1,1443,1846,0,0,59,8
1,0,1,0,4900,0.76,6691,1606,1,51000,51,8
0,1,-1,-1,6700,0.71,1603,9000,1,31500,19,0
0,0,1,1,6600,0.88,7400,8362,0,0,40,3
1,0,0,1,2000,0.79,1608,2194,1,26100,30,1
1,1,-1,-1,4500,0.73,609,3016,1,54800,38,8
0,1,-1,-1,5500,0.87,6480,5611,1,67300,57,2
0,1,-1,-1,5600,0.73,1602,7265,1,21200,39,2
1,1,-1,-1,3100,0.9,1692,1084,1,37900,50,8
1,1,-1,-1,6600,0.85,3602,3674,1,20500,38,1
1,0,1,0,7400,0.5,2313,8987,1,51600,21,2
1,1,-1,-1,5300,0.94,5400,2705,1,38100,52,2
0,1,-1,-1,3500,0.9,2521,44,1,43900,29,1
0,0,0,0,0,-1,1819,2850,1,20800,39,3
0,1,-1,-1,4800,1.02,993,2565,0,0,39,2
0,1,-1,-1,5700,0.9,1295,1521,1,40900,33,2
0,1,-1,-1,6200,0.83,2416,4193,1,15400,21,1
0,0,1,1,2700,0.62,636,3331,0,0,24,7
0,0,1,1,4300,0.93,1076,1722,0,0,41,2
1,1,-1,-1,6200,0.71,2397,6183,1,29800,32,7
1,1,-1,-1,3600,0.65,3440,8430,1,30000,41,8
0,1,-1,-1,7200,0.69,824,624,0,0,27,1
1,1,-1,-1,5900,0.7,5191,3092,1,68600,23,5
1,0,1,0,5700,0.49,3305,1067,1,22300,55,8
0,1,-1,-1,3700,0.72,1465,3960,1,22200,35,6
1,0,1,0,3400,0.83,2025,1885,1,31200,39,4
0,1,-1,-1,4000,0.7,7053,6000,0,0,28,2
0,1,-1,-1,0,-1,3223,4651,1,19400,39,1
0,0,1,0,6000,0.73,3879,3614,1,29900,22,1
1,0,1,0,4100,0.5,362,5934,1,46100,31,4
1,0,1,0,7600,0.75,3628,6274,1,36700,56,2
1,0,0,0,4200,0.52,959,1608,1,36300,42,7
0,0,1,0,5200,0.79,992,7368,1,36900,39,3
0,1,-1,-1,5500,0.56,1148,1159,0,0,42,8
0,0,1,0,10500,0.42,3231,4370,0,0,58,8
0,1,-1,-1,3100,0.87,775,491,0,0,39,1
1,1,-1,-1,4000,0.8,526,4895,1,6500,34,3
1,1,-1,-1,1900,0.81,3920,1430,1,41300,44,7
1,0,1,0,4600,0.59,728,1197,1,22300,52,2
0,1,-1,-1,5000,0.59,52,1623,1,48400,65,4
0,1,-1,-1,6500,0.93,1801,4014,0,0,48,1
1,0,1,1,5100,0.74,717,3730,1,32300,73,6
0,1,-1,-1,5300,0.5,1244,474,1,37800,30,3
0,1,-1,-1,4800,0.78,3528,9611,1,41500,46,1
0,0,1,1,3400,0.84,1130,3046,0,0,44,5
1,0,1,0,3600,0.74,4081,1515,1,13100,47,2
1,0,1,1,2800,0.72,1271,938,1,28400,36,2
0,1,-1,-1,4100,0.93,1328,1088,1,16400,45,8
1,0,1,0,5700,0.83,6119,6663,1,41400,59,1
1,1,-1,-1,1400,0.65,5347,3701,1,26200,40,8
0,0,1,1,500,0.71,994,2567,0,0,57,2
0,0,1,1,2800,0.55,3715,1647,1,36200,66,3
1,1,-1,-1,9900,0.42,1908,3844,1,50700,35,8
0,1,-1,-1,2000,0.87,13,1388,1,34600,35,1
0,0,0,1,1300,0.82,1412,4408,1,28000,36,8
0,1,-1,-1,3400,0.71,4502,3426,1,40000,35,1
0,1,-1,-1,0,-1,1390,1313,1,23800,31,3
0,0,1,0,7000,0.56,344,5468,1,4800,68,1
0,0,1,1,3400,0.82,636,2362,0,0,54,6
0,1,-1,-1,4800,0.89,1155,4065,0,0,33,3
0,1,-1,-1,5600,0.94,2436,7332,0,0,42,2
1,1,-1,-1,2700,0.64,2546,2080,1,20900,29,2
0,0,1,1,4100,1.01,412,3515,0,0,56,2
1,1,-1,-1,5300,0.57,3630,4897,1,40500,39,1
1,1,-1,-1,3700,0.96,1974,3037,1,24300,36,7
1,1,-1,-1,4800,0.77,1722,5661,1,10700,59,3
1,1,-1,-1,6300,0.57,2911,6342,1,31900,34,3
1,1,-1,-1,3800,0.5,3148,4106,1,16600,35,6
0,1,-1,-1,10000,0.23,2388,5488,0,0,22,1
0,1,-1,-1,1700,0.53,362,3099,1,17500,54,4
0,1,-1,-1,3300,0.85,332,2362,1,10800,25,1
1,0,1,1,0,-1,935,4288,1,8800,51,1
0,1,-1,-1,4100,1.07,1123,1995,1,13900,34,8
1,1,-1,-1,3000,0.41,609,4842,1,60700,47,2
1,1,-1,-1,6500,0.8,2810,6346,1,20700,30,6
0,1,-1,-1,8700,0.67,3161,552,1,45100,54,6
0,1,-1,-1,4900,0.77,2113,4148,1,10100,27,1
0,1,-1,-1,3400,0.73,642,1949,0,0,35,8
1,1,-1,-1,1300,0.83,4958,1424,1,28900,29,3
0,0,1,0,7600,0.68,1642,7578,0,0,31,2
0,1,-1,-1,4000,0.92,1234,2506,0,0,29,1
0,0,1,0,7000,0.94,1230,2098,1,15100,54,8
0,1,-1,-1,6800,0.57,108,4065,1,31200,31,4
0,1,-1,-1,0,-1,1989,2107,0,0,51,6
1,0,1,0,5800,0.73,1802,3936,1,16900,32,2
0,0,1,0,5100,0.94,3990,6230,1,23100,35,1
1,1,-1,-1,0,-1,1422,3023,0,0,31,2
0,1,-1,-1,1500,1.07,3782,2469,1,49100,38,1
1,1,-1,-1,4800,0.52,2574,5974,1,41100,35,8
1,1,-1,-1,6800,0.89,267,3964,1,36100,32,4
1,0,0,0,7600,0.63,4439,6174,1,10200,50,4
1,1,-1,-1,6300,0.56,2975,1931,1,17300,31,7
0,0,1,1,3200,0.83,1018,2766,0,0,38,7
1,1,-1,-1,2000,0.68,572,4013,1,23200,26,6
0,0,1,0,5200,0.51,1152,834,0,0,36,1
0,1,-1,-1,0,-1,1145,2214,1,33400,38,1
1,0,1,0,6700,0.2,6199,1249,1,29100,37,2
0,1,-1,-1,3700,1.01,724,1601,1,34600,36,1
1,1,-1,-1,4400,0.42,1859,9456,1,48000,43,1
1,0,1,0,8700,0.61,579,8434,1,46100,35,2
0,0,1,0,7600,0.7,230,49,1,34800,47,3
0,1,-1,-1,0,-1,617,1384,0,0,41,3
0,0,1,0,3300,0.85,772,3811,0,0,25,1
0,1,-1,-1,6400,0.74,851,1837,1,14000,33,8
1,1,-1,-1,1700,0.73,1821,2690,1,18200,29,8
1,0,1,1,1100,1,410,481,0,0,44,5
1,0,1,1,2700,0.65,3988,5707,1,29700,52,6
0,1,-1,-1,6600,0.42,3934,3181,1,56900,44,3
1,0,1,1,4900,0.47,681,12320,1,51000,38,8
1,0,1,0,3600,0.73,2928,6077,1,55800,25,1
0,0,1,1,900,0.76,1744,1470,1,22400,55,1
0,0,1,0,7600,1.03,2227,315,1,5600,52,1
1,0,1,1,3500,0.67,1110,2437,1,17800,43,1
0,1,-1,-1,6100,0.53,1401,5504,0,0,29,8
0,0,1,0,5300,0.76,2430,3380,1,48300,45,2
1,1,-1,-1,5300,0.39,825,1564,0,0,22,6
1,0,1,0,3800,0.61,835,2565,1,42000,29,2
0,1,-1,-1,2900,0.44,1047,3507,0,0,21,2
1,1,-1,-1,6400,0.93,1340,2843,0,0,39,0
0,0,1,0,0,-1,1101,2375,1,45200,24,3
0,0,1,0,5800,0.65,1805,2343,1,39800,38,2
1,1,-1,-1,5500,0.94,4209,8147,1,19100,44,1
1,0,1,0,6300,0.73,2726,4391,1,41000,47,7
0,1,-1,-1,2700,0.9,818,2699,0,0,34,4
1,0,1,0,2700,0.85,1334,3901,1,28300,40,3
0,1,-1,-1,4100,0.91,172,6304,1,32300,33,2
0,0,1,0,2900,0.99,1085,1383,0,0,51,4
0,0,1,0,3400,0.71,1445,2763,0,0,47,4
0,1,-1,-1,3100,0.65,1224,818,1,28700,55,4
0,1,-1,-1,0,-1,1206,3037,0,0,18,2
1,1,-1,-1,2300,0.91,1546,2237,1,27600,39,8
1,1,-1,-1,6900,0.21,18,5197,1,26300,31,1
